Países,Código NCM,Descrição NCM,Unidade estatística,Ano,Valor_FOB_USD,Peso_Kg,Quantidade
Austrália,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2022,1049,580,1
Suíça,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2022,26668493,57250140,57265
China,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2022,104,27,24
Tailândia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2022,0,0,0
Dinamarca,22072019,Outro álcool etílico desnaturado,LITRO,2022,0,0,0
Filipinas,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2022,0,0,0
Suíça,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2022,0,0,0
França,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2022,0,0,0
Malásia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2022,0,0,0
Índia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2022,0,0,0
Egito,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2022,2104660,4948298,4948
Estados Unidos,22072019,Outro álcool etílico desnaturado,LITRO,2022,95255,153460,189483
China,22072019,Outro álcool etílico desnaturado,LITRO,2022,405,73,81
Dinamarca,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2022,180,85,0
Tailândia,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2022,34,2,2
Tailândia,22072019,Outro álcool etílico desnaturado,LITRO,2022,23,4,4
Índia,22072019,Outro álcool etílico desnaturado,LITRO,2022,10,3,3
Alemanha,22072019,Outro álcool etílico desnaturado,LITRO,2022,1,2,2
Canadá,22072019,Outro álcool etílico desnaturado,LITRO,2022,0,0,0
Filipinas,22072019,Outro álcool etílico desnaturado,LITRO,2022,0,0,0
Itália,22072019,Outro álcool etílico desnaturado,LITRO,2022,0,0,0
Suécia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2022,0,0,0
Suíça,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2022,0,0,0
China,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2022,0,0,0
Reino Unido,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2022,0,0,0
Filipinas,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2022,0,0,0
Itália,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2022,0,0,0
França,22072019,Outro álcool etílico desnaturado,LITRO,2022,0,0,0
Colômbia,22072019,Outro álcool etílico desnaturado,LITRO,2022,0,0,0
Estados Unidos,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2022,0,0,0
Alemanha,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2022,0,0,0
Nova Zelândia,22072019,Outro álcool etílico desnaturado,LITRO,2022,0,0,0
Estados Unidos,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2021,63606916,108053044,126566
Colômbia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2021,10911764,29692000,29694
Tailândia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2021,1029,921,0
Canadá,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2021,9199573,15574272,14778
China,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2021,5816604,16574217,16613
Marrocos,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2021,119743,260000,260
Malásia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2021,82444,270000,270
França,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2021,3620570,5728915,5718
Alemanha,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2021,538966,884410,851
Reino Unido,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2021,10138900,26990546,26905
Itália,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2021,878863,1417132,1458
Nova Zelândia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2021,310460,527300,492
Reino Unido,22072019,Outro álcool etílico desnaturado,LITRO,2021,107644,79038,98039
Austrália,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2021,377024,585300,579
Alemanha,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2021,545628,300150,300
Filipinas,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2021,327520,419718,426
Suécia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2021,62617,99750,80
